,0
0,Toy Story (1995)
1,Jumanji (1995)
2,American President
3,Mr. Wrong (1996)
4,Parent Trap
5,Pollyanna (1960)
6,Homeward Bound
7,Shaggy Dog
8,Swiss Family Robinson (1960)
9,That Darn Cat! (1965)
10,20
11,Cool Runnings (1993)
12,Angels in the Outfield (1994)
13,Cinderella (1950)
14,Unforgettable (1996)
15,Winnie the Pooh and the Blustery Day (1968)
16,Three Caballeros
17,Sword in the Stone
18,So Dear to My Heart (1949)
19,Robin Hood
20,Mary Poppins (1964)
21,Dumbo (1941)
22,Pete's Dragon (1977)
23,Bedknobs and Broomsticks (1971)
24,Alice in Wonderland (1951)
25,Happy Gilmore (1996)
26,Fox and the Hound
27,Freeway (1996)
28,Sound of Music
29,Die Hard (1988)
30,Lawnmower Man
31,Unhook the Stars (1996)
32,Synthetic Pleasures (1995)
33,Secret Agent
34,Secrets & Lies (1996)
35,That Thing You Do! (1996)
36,Bridges of Madison County
37,To Gillian on Her 37th Birthday (1996)
38,Surviving Picasso (1996)
39,Beautiful Thing (1996)
40,Long Kiss Goodnight
41,Ghost and the Darkness
42,Looking for Richard (1996)
43,Trees Lounge (1996)
44,Normal Life (1996)
45,Nobody Loves Me (Keiner liebt mich) (1994)
46,Get on the Bus (1996)
47,Shadow Conspiracy (1997)
48,Jude (1996)
49,Everyone Says I Love You (1996)
50,Bitter Sugar (Azucar Amargo) (1996)
51,William Shakespeare's Romeo and Juliet (1996)
52,Swingers (1996)
53,Sleepers (1996)
54,Sunchaser
55,Johns (1996)
56,Muppet Treasure Island (1996)
57,Aladdin and the King of Thieves (1996)
58,Shall We Dance? (1937)
59,Damsel in Distress
60,Crossfire (1947)
61,Murder
62,Macao (1952)
63,For the Moment (1994)
64,Willy Wonka and the Chocolate Factory (1971)
65,Catwalk (1995)
66,Innocents
67,Sleeper (1973)
68,Bananas (1971)
69,Fish Called Wanda
70,Monty Python's Life of Brian (1979)
71,Victor/Victoria (1982)
72,Candidate
73,Great Race
74,Bonnie and Clyde (1967)
75,Old Man and the Sea
76,Dial M for Murder (1954)
77,Madame Butterfly (1995)
78,Dirty Dancing (1987)
79,Reservoir Dogs (1992)
80,Platoon (1986)
81,Weekend at Bernie's (1989)
82,Basic Instinct (1992)
83,Doors
84,Crying Game
85,Glengarry Glen Ross (1992)
86,Braveheart (1995)
87,Sophie's Choice (1982)
88,E.T. the Extra-Terrestrial (1982)
89,Search for One-eye Jimmy
90,Christmas Carol
91,Days of Thunder (1990)
92,Top Gun (1986)
93,American Strays (1996)
94,Rebel Without a Cause (1955)
95,Streetcar Named Desire
96,Children of the Corn IV
97,Taxi Driver (1976)
98,Loser (1991)
99,Microcosmos (Microcosmos
100,Palookaville (1996)
101,Associate
102,Funeral
103,Sleepover (1995)
104,Dracula
105,Rumble in the Bronx (1995)
106,Single Girl
107,Eighth Day
108,Tashunga (1995)
109,Drunks (1997)
110,People vs. Larry Flynt
111,Glory Daze (1996)
112,Perfect Candidate
113,On Golden Pond (1981)
114,Return of the Pink Panther
115,Before and After (1996)
116,Drop Dead Fred (1991)
117,Abyss
118,Fog
119,Escape from New York (1981)
120,Howling
121,Jean de Florette (1986)
122,Manon of the Spring (Manon des sources) (1986)
123,Talking About Sex (1994)
124,Johnny 100 Pesos (1993)
125,Private Benjamin (1980)
126,Margaret's Museum (1995)
127,Monty Python and the Holy Grail (1974)
128,Dadetown (1995)
129,Everything Relative (1996)
