,0
1,1
2,0
3,1
4,1
5,1
6,0
7,1
8,1
9,1
10,0
11,0
12,1
13,1
14,1
15,1
16,0
17,1
18,0
19,1
20,1
21,1
22,1
23,1
24,0
25,1
26,1
27,1
28,0
29,1
30,0
31,1
32,0
33,1
34,0
35,1
36,1
37,0
38,0
39,1
40,1
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,1
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,1
59,0
60,1
61,1
62,0
63,1
64,1
65,1
66,1
67,0
68,1
69,0
70,1
71,1
72,0
73,1
74,1
75,0
76,1
77,1
78,0
79,0
80,1
81,0
82,1
83,0
84,1
85,1
86,0
87,1
88,0
89,0
90,1
91,1
92,0
93,1
94,1
95,1
96,0
97,0
98,0
99,0
100,1
101,0
102,1
103,1
104,1
105,1
106,0
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,0
115,1
116,1
117,1
118,1
119,0
120,1
121,1
122,0
123,1
124,1
125,1
126,1
127,0
128,1
129,1
130,1
131,1
132,1
133,0
134,1
135,1
136,1
137,0
138,1
139,0
140,0
141,1
142,1
143,1
144,1
145,1
146,0
147,1
148,1
149,1
150,1
151,0
152,1
153,1
154,1
155,1
156,0
157,1
158,1
159,0
160,1
161,1
162,0
163,1
164,0
165,1
166,1
167,0
168,0
169,1
170,1
171,0
172,1
173,1
174,1
175,0
176,0
177,1
178,1
179,1
180,1
181,1
182,1
183,0
184,0
185,1
186,1
187,0
188,1
189,1
190,1
191,1
192,1
193,0
194,0
195,1
196,0
197,1
198,1
199,1
200,0
201,0
202,1
203,0
204,1
205,1
206,1
207,1
208,1
209,1
210,0
211,1
212,1
213,0
214,1
215,1
216,1
217,1
218,1
219,0
220,1
221,0
222,1
223,1
224,0
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,0
234,1
235,1
236,1
237,1
238,0
239,1
240,1
241,1
242,0
243,1
244,1
245,1
246,0
247,1
248,1
249,0
250,1
251,1
252,1
253,0
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,0
263,0
264,1
265,0
266,1
267,1
268,0
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,0
278,1
279,1
280,1
281,0
282,1
283,1
284,1
285,0
286,1
287,1
288,0
289,0
290,0
291,1
292,1
293,1
294,0
295,1
296,1
297,1
298,0
299,1
300,1
301,1
302,1
303,1
304,1
305,0
306,1
307,1
308,1
309,1
310,0
311,1
312,0
313,0
314,0
315,0
316,1
317,1
318,0
319,0
320,1
321,1
322,1
323,1
324,1
325,0
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,0
335,1
336,1
337,1
338,1
339,1
340,0
341,0
342,1
343,0
344,1
345,1
346,0
347,0
348,1
349,1
350,1
351,1
352,1
353,0
354,1
355,1
356,1
357,1
358,0
359,1
360,1
361,0
362,1
363,1
364,0
365,0
366,1
367,1
368,1
369,1
370,1
371,1
372,0
373,0
374,0
375,1
376,1
377,1
378,0
379,0
380,1
381,1
382,0
383,0
384,1
385,1
386,1
387,0
388,0
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,0
400,0
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,0
411,0
412,1
413,1
414,1
415,0
416,1
417,0
418,0
419,1
420,1
421,0
422,1
423,1
424,1
425,1
426,1
427,1
428,0
429,1
430,0
431,1
432,1
433,1
434,0
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,0
447,0
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,0
456,1
457,1
458,1
459,0
460,1
461,1
462,1
463,1
464,0
465,1
466,1
467,0
468,0
469,1
470,0
471,1
472,1
473,0
474,1
475,0
476,1
477,1
478,1
479,1
480,0
481,1
482,1
483,1
484,0
485,1
486,1
487,0
488,1
489,1
490,1
491,1
492,1
493,1
494,0
495,1
496,1
497,0
498,1
499,0
500,0
501,1
502,1
503,1
504,1
505,1
506,1
507,0
508,1
509,1
510,1
511,0
512,1
513,1
514,1
515,1
516,0
517,0
518,0
519,0
520,0
521,1
522,1
523,1
524,1
525,1
526,1
527,0
528,0
529,1
530,1
531,0
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,0
542,1
543,1
544,1
545,1
546,0
547,1
548,0
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,0
557,1
558,1
559,0
560,1
561,0
562,1
563,1
564,1
565,1
566,1
567,1
568,0
569,0
570,1
571,1
572,1
573,0
574,1
575,1
576,0
577,1
578,1
579,1
580,1
581,1
582,1
583,0
584,0
585,1
586,1
587,1
588,0
589,1
590,0
591,1
592,1
593,0
594,0
595,1
596,0
597,1
598,1
599,1
600,1
601,0
602,0
603,0
604,1
605,0
606,0
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,0
618,1
619,0
620,1
621,1
622,1
623,1
624,1
625,0
626,1
627,1
628,0
629,0
630,0
631,1
632,1
633,1
634,0
635,1
636,1
637,1
638,1
639,1
640,1
641,0
642,0
643,1
644,1
645,1
646,1
647,1
648,0
649,1
650,1
651,1
652,1
653,1
654,1
655,0
656,0
657,0
658,0
659,0
660,1
661,1
662,1
663,0
664,1
665,1
666,0
667,1
668,0
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,0
688,1
689,0
690,1
691,1
692,0
693,1
694,1
695,0
696,1
697,0
698,1
699,1
700,1
701,0
702,1
703,0
704,0
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,0
722,1
723,1
724,1
725,1
726,0
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,1
743,0
744,1
745,1
746,0
747,1
748,1
749,1
750,0
751,0
752,0
753,1
754,1
755,0
756,1
757,1
758,1
759,0
760,1
761,1
762,1
763,1
764,1
765,1
766,0
767,1
768,1
769,1
770,1
771,0
772,1
773,1
774,1
775,1
776,0
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,1
793,0
794,1
795,0
796,1
797,0
798,0
799,0
800,0
801,0
802,1
803,1
804,1
805,1
806,1
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,0
815,1
816,1
817,1
818,1
819,1
820,1
821,1
822,0
823,1
824,1
825,1
826,0
827,1
828,1
829,1
830,1
831,0
832,1
833,1
834,0
835,1
836,1
837,1
838,1
839,1
840,0
841,0
842,0
843,1
844,1
